combo,mode,workers,n_periods,n_dtypes,n_dt_age,init_s,sched_s,compile_s,lp_build_s,lp_solve_s,spatial_s,mem_init_gb,mem_sched_gb,mem_compile_gb,mem_lp_build_gb,mem_lp_solve_gb,mem_spatial_gb,mem_peak_gb,lp_status,obj_value,ha_mean,hv_mean,gs_last,status,error
tsa08,heuristic,1,10,51,4682,0.64,1.467,0.598,,,45.099,0.195,0.196,0.202,,,0.23,0.23,,,23428.116461961552,4445757.703189781,1038286132.0246038,ok,
tsa08,lp,1,10,51,4682,0.606,,,5.312,0.582,,0.236,,,0.334,0.336,,0.336,optimal,168278962.13783988,,,,ok,
tsa08,lp,16,10,51,4682,0.627,,,5.746,0.474,,0.375,,,0.564,0.564,,0.564,optimal,168278962.13783988,,,,ok,
tsa08+tsa40,heuristic,1,10,93,10453,0.999,3.766,1.28,,,92.829,0.487,0.487,0.487,,,0.546,0.546,,,61099.5401249615,11808589.094404751,1627043107.1310122,ok,
tsa08+tsa40,lp,1,10,93,10453,0.998,,,15.317,1.523,,0.546,,,0.778,0.8,,0.8,optimal,392221365.3909061,,,,ok,
tsa08+tsa40,lp,16,10,93,10453,1.016,,,13.885,1.539,,0.837,,,1.225,1.225,,1.225,optimal,392221365.3909061,,,,ok,
tsa08+tsa40+tsa41,heuristic,1,10,153,16653,1.433,9.665,2.742,,,115.344,0.762,0.762,0.762,,,0.775,0.775,,,95175.29998605483,19048789.50904887,2093343369.4319015,ok,
tsa08+tsa40+tsa41,lp,1,10,153,16653,1.516,,,30.581,2.668,,0.775,,,1.031,1.034,,1.034,optimal,546814370.6445533,,,,ok,
tsa08+tsa40+tsa41,lp,16,10,153,16653,1.539,,,25.408,2.528,,1.058,,,1.382,1.382,,1.382,optimal,546814370.6445533,,,,ok,
tsa08+tsa40+tsa41+tsa24,heuristic,1,10,201,26346,2.227,17.543,3.549,,,462.615,0.905,0.905,0.905,,,0.868,0.905,,,178697.85507702205,36527347.73702123,3245257143.44215,ok,
tsa08+tsa40+tsa41+tsa24,lp,1,10,201,26346,2.34,,,55.462,5.391,,0.868,,,1.435,1.472,,1.472,optimal,1108821334.9392254,,,,ok,
tsa08+tsa40+tsa41+tsa24,lp,16,10,201,26346,2.252,,,40.532,5.51,,1.529,,,2.0,2.0,,2.0,optimal,1108821334.9392254,,,,ok,
tsa08+tsa40+tsa41+tsa24+tsa16,heuristic,1,10,273,37691,3.133,31.747,4.992,,,665.2,1.042,1.042,1.042,,,1.068,1.068,,,247277.5490846627,48251677.45091635,3698487973.1554217,ok,
tsa08+tsa40+tsa41+tsa24+tsa16,lp,1,10,273,37691,3.113,,,95.205,10.309,,1.065,,,1.805,1.805,,1.805,optimal,1357917549.5100007,,,,ok,
tsa08+tsa40+tsa41+tsa24+tsa16,lp,16,10,273,37691,3.125,,,64.41,10.474,,1.856,,,2.442,2.48,,2.48,optimal,1357917549.5100007,,,,ok,
