Year,Biomass,DOM,Total Ecosystem
0,86175.78754262597,182257.27541401636,268433.06295664236
1,86691.06183475943,181657.7942575308,268348.85609229025
2,87206.84537126543,181133.14898368987,268339.99435495527
3,87723.4583053345,180673.3241430035,268396.782448338
4,88241.23912147785,180270.15013008416,268511.389251562
5,88760.53797605686,179916.90480939494,268677.44278545177
6,89281.71305589339,179608.0060440584,268889.7190999518
7,89805.1279524579,179338.7651261723,269143.8930786302
8,90331.14948302585,179105.22231787964,269436.3718009055
9,90860.14572166247,178904.02264675734,269764.1683684198
10,91392.4841218131,178732.29800326918,270124.7821250823
11,91876.0296624982,178587.12908942442,270463.1587519226
12,92363.77629403931,178465.9719789518,270829.7482729911
13,92856.07592958378,178367.0500821795,271223.1260117633
14,93353.27239029747,178288.8101105202,271642.08250081766
15,93855.6994088847,178229.8876833825,272085.5870922672
16,94363.67858233859,178189.07871610962,272552.7572984482
17,94877.51727790225,178165.31542006123,273042.8326979635
18,95397.5064996093,178157.64602266133,273555.1525222706
19,95923.91872570304,178165.21752270783,274089.13624841085
20,96457.00572983456,178187.26095236835,274644.26668220287
21,96929.68246091245,178222.51005555002,275152.19251646247
22,97409.60006885206,178269.80915269972,275679.4092215518
23,97896.93333287965,178328.66502640065,276225.59835928027
24,98391.82782930003,178398.61411820698,276790.441947507
25,98894.39793757483,178479.2181540263,277373.61609160114
26,99404.72494882968,178570.06024319908,277974.78519202874
27,99922.85530119679,178670.74146818893,278593.59676938574
28,100448.79896698441,178780.87796414294,279229.6769311273
29,100982.5280169124,178900.0984745513,279882.62649146374
30,101523.97538653796,179028.04235947813,280552.0177460161
31,102007.13060871862,179163.8015172122,281170.93212593085
32,102502.47788320764,179307.44671156298,281809.9245947706
33,103007.5288724921,179458.45942378812,282465.9882962802
34,103516.06972074808,179615.3871753496,283131.4568960977
35,104028.25915620058,179777.97341430446,283806.23257050506
36,104544.17399221318,179945.97806964588,284490.15206185903
37,105063.82487764952,180119.17356953982,285182.99844718934
38,105587.16609383041,180297.34208654708,285884.5081803775
39,106114.10219823425,180480.27369077047,286594.37588900473
40,106644.49289020746,180667.765157581,287312.2580477884
41,107133.28932678261,180860.61884200177,287993.9081687844
42,107633.4835058031,181058.60125518808,288692.08476099116
43,108140.60413374654,181261.07333914717,289401.67747289373
44,108643.33489405725,181465.68248399286,290109.01737805014
45,109142.17977226402,181672.29524164757,290814.4750139116
46,109637.53754893642,181880.8147760554,291518.35232499184
47,110129.73289482668,182091.17100417006,292220.90389899677
48,110619.03579497528,182303.31328363728,292922.3490786125
49,111105.67451340142,182517.20500500282,293622.87951840425
50,111589.84466236907,182732.81959685433,294322.6642592234
51,112036.75354730673,182954.2299355248,294990.98348283157
52,112481.12222335058,183176.66918594795,295657.7914092985
53,112923.21737941877,183400.15523637863,296323.3726157974
54,113363.19178899497,183624.71163795117,296987.90342694614
55,113801.17983714867,183850.36180556688,297651.5416427155
56,114237.30065022915,184077.12813846514,298314.42878869426
57,114671.66055223474,184305.03144777534,298976.6920000101
58,115104.35502033876,184534.09060372814,299638.44562406687
59,115535.47026137686,184764.32233937853,300299.79260075535
60,115965.08449707221,184995.74116508086,300960.8256621531
61,116288.53929566838,185232.8488046044,301521.3881002728
62,116611.05809604005,185469.37159183333,302080.42968787334
63,116932.67659616245,185705.46511198513,302638.1417081476
64,117253.42806103408,185941.26147516762,303194.6895362017
65,117573.34356293855,186176.87340409277,303750.21696703136
