period,harvest_area_ha,harvest_volume_m3,growing_stock_m3
1,103.41108795555807,14069.08066971233,134541.5249801551
2,105.65507854583106,14690.387934370441,130879.31088742868
3,103.41108795555807,14352.583696890646,126127.58883352416
4,103.41108795555809,14403.805319338295,121730.56127124383
5,103.41108795555807,14167.526586560276,119035.43739610261
6,103.41108795555807,14525.545508936662,115405.61596100862
7,103.41108795555807,14682.258258349339,110132.98407977712
8,114.04329235533315,18074.58095252775,99970.95778818577
9,114.04329235533315,18465.897652411633,89342.62594077336
10,114.04329235533315,15914.152295177577,82463.45200577144
