period,ws3_harvest_area_ha,woodstock_harvest_area_ha,diff_area_pct,ws3_harvest_volume_m3,woodstock_harvest_volume_m3,diff_volume_pct
1,103.41108795555807,103.41108795555807,0.0,14069.08066971233,14069.08066971233,0.0
2,105.65507854583106,105.65507854583106,0.0,14690.387934370441,14690.387934370441,0.0
3,103.41108795555807,103.41108795555807,0.0,14352.583696890646,14352.583696890646,0.0
4,103.41108795555809,103.41108795555809,0.0,14403.805319338295,14403.805319338295,0.0
5,103.41108795555807,103.41108795555807,0.0,14167.526586560276,14167.526586560276,0.0
6,103.41108795555807,103.41108795555807,0.0,14525.545508936662,14525.545508936662,0.0
7,103.41108795555807,103.41108795555807,0.0,14682.258258349339,14682.258258349339,0.0
8,114.04329235533315,114.04329235533315,0.0,18074.58095252775,18074.58095252775,0.0
9,114.04329235533315,114.04329235533315,0.0,18465.897652411633,18465.897652411633,0.0
10,114.04329235533315,114.04329235533315,0.0,15914.152295177577,15914.152295177577,0.0
